Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Biovar	Race	Phylotype	Comment	Bio Project ID	Project	Sample	Secondary Sample	Date Entered	Release Date	Barcode	Status	Coverage	Version	N50	Length	Predicted Species	Contig Number	No. N's	Barcode
RAL_AA1721AA	RUN1112	SRR31675513;ILLUMINA;Paired;;SRX27037792;SRA	Environment	Plant	Solanum lycopersicum	1997				North America	Martinique	Martinique	Martinique	Arrondissement de Fort-de-France				Max Planck Institute for Biology Tuebingen	Ralstonia solanacearum					PRJNA1196686	SRP550707	SAMN45624432	SRS23501028	2025-07-16	2025-06-01	RAL_AA1721AA	Assembled	88.5	5.2	40636	5651521	Ralstonia solanacearum;99.64%	321	22642	RAL_AA1749AA_AS
RAL_AA1722AA	RUN1105	SRR31675515;ILLUMINA;Paired;;SRX27037790;SRA	Environment	Plant	Musa acuminata x balbisiana AAA	2003				North America	Martinique	Martinique	Martinique	Arrondissement de Fort-de-France				Max Planck Institute for Biology Tuebingen	Ralstonia solanacearum					PRJNA1196686	SRP550707	SAMN45624430	SRS23501026	2025-07-16	2025-06-01	RAL_AA1722AA	Assembled	104.9	5.2	109917	5561532	Ralstonia solanacearum;99.06%	127	4362	RAL_AA1750AA_AS
RAL_AA1723AA	RUN1104	SRR31675516;ILLUMINA;Paired;;SRX27037789;SRA	Environment	Plant	Anthurium andreanum	2002				North America	Martinique	Martinique	Martinique	Arrondissement de La Trinité				Max Planck Institute for Biology Tuebingen	Ralstonia solanacearum					PRJNA1196686	SRP550707	SAMN45624429	SRS23501025	2025-07-16	2025-06-01	RAL_AA1723AA	Assembled	74.3	5.2	111617	5561852	Ralstonia solanacearum;99.06%	135	6719	RAL_AA1751AA_AS
RAL_AA1724AA	RUN1100	SRR31675520;ILLUMINA;Paired;;SRX27037785;SRA	Environment	Plant	Solanum lycopersicum	1993				North America	Martinique	Martinique	Martinique	Arrondissement de La Trinité				Max Planck Institute for Biology Tuebingen	Ralstonia solanacearum					PRJNA1196686	SRP550707	SAMN45624425	SRS23501021	2025-07-16	2025-06-01	RAL_AA1724AA	Assembled	108.9	5.2	95161	5473142	Ralstonia solanacearum;98.85%	116	5379	RAL_AA1752AA_AS
RAL_AA1725AA	RUN1099	SRR31675521;ILLUMINA;Paired;;SRX27037784;SRA	Environment	Plant	Solanum lycopersicum	2002				North America	Martinique	Martinique	Martinique	Arrondissement de La Trinité				Max Planck Institute for Biology Tuebingen	Ralstonia solanacearum					PRJNA1196686	SRP550707	SAMN45624424	SRS23501020	2025-07-16	2025-06-01	RAL_AA1725AA	Assembled	119.9	5.2	111643	5561949	Ralstonia solanacearum;99.06%	137	4524	RAL_AA1753AA_AS
RAL_AA1726AA	RUN1098	SRR31675522;ILLUMINA;Paired;;SRX27037783;SRA	Environment	Plant	Anthurium andreanum	2002				North America	Martinique	Martinique	Martinique	Arrondissement de Fort-de-France				Max Planck Institute for Biology Tuebingen	Ralstonia solanacearum					PRJNA1196686	SRP550707	SAMN45624423	SRS23501019	2025-07-16	2025-06-01	RAL_AA1726AA	Assembled	77.1	5.2	71488	5559962	Ralstonia solanacearum;99.05%	178	8662	RAL_AA1754AA_AS
RAL_AA1727AA	RUN0816	SRR31675523;ILLUMINA;Paired;;SRX27037782;SRA	Environment	Plant	Cucumis sativus	2002				North America	Martinique	Martinique	Martinique	Arrondissement du Marin				Max Planck Institute for Biology Tuebingen	Ralstonia solanacearum					PRJNA1196686	SRP550707	SAMN45624358	SRS23501018	2025-07-16	2025-06-01	RAL_AA1727AA	Assembled	60.8	5.2	103825	5562004	Ralstonia solanacearum;99.07%	156	8720	RAL_AA1755AA_AS
RAL_AA1728AA	RUN0815	SRR31675524;ILLUMINA;Paired;;SRX27037781;SRA	Environment	Plant	Solanum lycopersicum	2007				North America	Martinique	Martinique	Martinique	Arrondissement de La Trinité				Max Planck Institute for Biology Tuebingen	Ralstonia solanacearum					PRJNA1196686	SRP550707	SAMN45624357	SRS23501017	2025-07-16	2025-06-01	RAL_AA1728AA	Assembled	86.3	5.2	111643	5562042	Ralstonia solanacearum;99.07%	136	4871	RAL_AA1756AA_AS
RAL_AA1729AA	RUN0813	SRR31675526;ILLUMINA;Paired;;SRX27037779;SRA	Environment	Soil/Dust	soil_banana_fallow	2007				North America	Martinique	Martinique	Martinique	Arrondissement de La Trinité				Max Planck Institute for Biology Tuebingen	Ralstonia solanacearum					PRJNA1196686	SRP550707	SAMN45624355	SRS23501015	2025-07-16	2025-06-01	RAL_AA1729AA	Assembled	123.4	5.2	113910	5563821	Ralstonia solanacearum;99.07%	125	4581	RAL_AA1800AA_AS
RAL_AA1731AA	RUN0810	SRR31675530;ILLUMINA;Paired;;SRX27037775;SRA	Environment	Soil/Dust	soil_banana_fallow	2007				North America	Martinique	Martinique	Martinique	Arrondissement de La Trinité				Max Planck Institute for Biology Tuebingen	Ralstonia solanacearum					PRJNA1196686	SRP550707	SAMN45624352	SRS23501011	2025-07-16	2025-06-01	RAL_AA1731AA	Assembled	82.7	5.2	113895	5559425	Ralstonia solanacearum;99.06%	132	5221	RAL_AA1759AA_AS
RAL_AA1732AA	RUN0809	SRR31675531;ILLUMINA;Paired;;SRX27037774;SRA	Environment	Soil/Dust	soil_banana_fallow	2007				North America	Martinique	Martinique	Martinique	Arrondissement de La Trinité				Max Planck Institute for Biology Tuebingen	Ralstonia solanacearum					PRJNA1196686	SRP550707	SAMN45624351	SRS23501010	2025-07-16	2025-06-01	RAL_AA1732AA	Assembled	95.4	5.2	75115	5560013	Ralstonia solanacearum;99.06%	186	9563	RAL_AA1760AA_AS
RAL_AA1733AA	RUN0808	SRR31675532;ILLUMINA;Paired;;SRX27037773;SRA	Environment	Soil/Dust	soil_banana_fallow	2007				North America	Martinique	Martinique	Martinique	Arrondissement de La Trinité				Max Planck Institute for Biology Tuebingen	Ralstonia solanacearum					PRJNA1196686	SRP550707	SAMN45624350	SRS23501009	2025-07-16	2025-06-01	RAL_AA1733AA	Assembled	55.5	5.2	86258	5560875	Ralstonia solanacearum;99.06%	167	10648	RAL_AA1761AA_AS
RAL_AA1734AA	RUN0806	SRR31675534;ILLUMINA;Paired;;SRX27037771;SRA	Environment	Soil/Dust	soil_banana_fallow	2007				North America	Martinique	Martinique	Martinique	Arrondissement de La Trinité				Max Planck Institute for Biology Tuebingen	Ralstonia solanacearum					PRJNA1196686	SRP550707	SAMN45624348	SRS23501007	2025-07-16	2025-06-01	RAL_AA1734AA	Assembled	55.7	5.2	38722	5555088	Ralstonia solanacearum;99.11%	336	30572	RAL_AA1762AA_AS
RAL_AA1753AA	NCPPB 3728	SRR30016862;OXFORD_NANOPORE;Single;;SRX25495943;SRA,SRR29655361;ILLUMINA;Paired;;SRX25159407;SRA	Environment	Plant	Musa					Asia	Indonesia	North Sulawesi						University of Exeter	Ralstonia syzygii					PRJNA1130007	SRP517073	SAMN42180106	SRS21850002	2025-07-16	2024-07-29	RAL_AA1753AA	Assembled	222.3	5.2	54686	4721332	blood disease bacterium A2-HR MARDI;92.28%	172	873	RAL_AA1767AA_AS
RAL_AA1754AA	NCPPB 3727	SRR30016863;OXFORD_NANOPORE;Single;;SRX25495942;SRA,SRR29655362;ILLUMINA;Paired;;SRX25159406;SRA	Environment	Plant	Musa	1988				Asia	Indonesia	South Sulawesi						University of Exeter	Ralstonia syzygii					PRJNA1130007	SRP517073	SAMN42180105	SRS21850001	2025-07-16	2024-07-29	RAL_AA1754AA	Assembled	10.2	5.2	486	442758	blood disease bacterium A2-HR MARDI;100.0%	871	430374	RAL_AA1768AA_AS
RAL_AA1755AA	NCPPB 3726	SRR30016864;OXFORD_NANOPORE;Single;;SRX25495941;SRA,SRR29655363;ILLUMINA;Paired;;SRX25159405;SRA	Environment	Plant	Musa	1988				Asia	Indonesia	South Sulawesi						University of Exeter	Ralstonia syzygii					PRJNA1130007	SRP517073	SAMN42180104	SRS21850000	2025-07-16	2024-07-29	RAL_AA1755AA	Assembled	222.1	5.2	66101	4832141	blood disease bacterium A2-HR MARDI;96.34%	157	669	RAL_AA1769AA_AS
RAL_AA1756AA	NCPPB 3725	SRR29655364;ILLUMINA;Paired;;SRX25159404;SRA,SRR30016865;OXFORD_NANOPORE;Single;;SRX25495940;SRA	Environment	Plant	Musa	1987				Asia	Indonesia	West Java						University of Exeter	Ralstonia syzygii					PRJNA1130007	SRP517073	SAMN42180103	SRS21849999	2025-07-16	2024-07-29	RAL_AA1756AA	Assembled	209.4	5.2	66808	5028436	blood disease bacterium A2-HR MARDI;96.28%	159	786	RAL_AA1770AA_AS
RAL_AA1757AA	MAFF 211271	DRR513096;OXFORD_NANOPORE;Single;;DRX496982;SRA,DRR513090;ILLUMINA;Paired;;DRX496976;SRA																KOCHI	Ralstonia syzygii					PRJDB17010	DRP010779	SAMD00657127	DRS341347	2025-07-16	2023-11-14	RAL_AA1757AA	Assembled	70.2	5.2	202159	5774843	Ralstonia solanacearum;90.08%	401	89657	RAL_AA1786AA_AS
RAL_AA1758AA	LMG 10661	ERR7335482;ILLUMINA;Paired;;ERX6906079;SRA	Environment	Plant	Plant					Asia	Indonesia							LM-UGent	Ralstonia syzygii					PRJEB43925	ERP127906	SAMEA10977830	ERS8627654	2025-07-16	2021-11-17	RAL_AA1758AA	Assembled	479.3	5.2	22403	4014851	Ralstonia solanacearum;95.13%	367	1323	RAL_AA1763AA_AS
RAL_AA1763AA	RUN6904	SRR34489664;ILLUMINA;Paired;;SRX29633613;SRA	Environment	Plant	Solanum melongena	2022										-5.139582	15.064194	CIRAD	Ralstonia pseudosolanacearum					PRJNA1287086	SRP600050	SAMN49812370	SRS25750400	2025-08-06	2025-07-11	RAL_AA1763AA	Assembled	238.8	5.2	86740	5781676	Ralstonia solanacearum;99.49%	186	1955	RAL_AA1828AA_AS
RAL_AA1765AA	RUN2161	SRR35491076;ILLUMINA;Paired;;SRX30567554;SRA,SRR35404195;OXFORD_NANOPORE;Single;;SRX30484107;SRA	Environment	Plant	Solanum lycopersicum; Field	2012				Africa	Mayotte	Dembeni		Tsararano				CIRAD	Ralstonia pseudosolanacearum					PRJNA1328457	SRP620445	SAMN51336171	SRS26517547	2025-09-18	2025-09-17	RAL_AA1765AA	Assembled	229.4	5.2	134533	5905276	Ralstonia solanacearum;96.28%	131	816	RAL_AA1830AA_AS
RAL_AA1767AA	RalTom1	SRR34352491;ILLUMINA;Paired;;SRX29517601;SRA,SRR34352490;OXFORD_NANOPORE;Single;;SRX29517602;SRA	Environment	Plant	tomato	2015	6	30		Asia	Thailand							Kasetsart University	Ralstonia pseudosolanacearum					PRJNA1274170	SRP598021	SAMN48977310	SRS25652862	2025-11-10	2025-09-26	RAL_AA1767AA	Assembled	364.1	5.2	106054	5959031	Ralstonia solanacearum;98.46%	199	3619	RAL_AA1832AA_AS
RAL_AA1772AA	GBBC 1202	SRR32059349;OXFORD_NANOPORE;Single;;SRX27408280;SRA,SRR32059338;ILLUMINA;Paired;;SRX27408291;SRA	Environment	Plant	ENVO_01000311; Solanum tuberosum cv. Pamina	2002				Africa	Mali							Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820502	SRS23838238	2026-02-20	2025-12-31	RAL_AA1772AA	Assembled	259.2	5.2	209000	5651172	Ralstonia solanacearum;99.45%	89	1081	RAL_AA1833AA_AS
RAL_AA1773AA	GBBC 1200	SRR32059339;ILLUMINA;Paired;;SRX27408290;SRA,SRR32059350;OXFORD_NANOPORE;Single;;SRX27408279;SRA	Environment	Plant	ENVO_01000311; Solanum tuberosum cv. Pamina	2002				Africa	Mali							Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820501	SRS23838237	2026-02-20	2025-12-31	RAL_AA1773AA	Assembled	192.9	5.2	94929	5815695	Ralstonia solanacearum;98.57%	189	1347	RAL_AA1834AA_AS
RAL_AA1774AA	GBBC 1172	SRR32059340;ILLUMINA;Paired;;SRX27408289;SRA,SRR32059351;OXFORD_NANOPORE;Single;;SRX27408278;SRA	Environment	Plant	ENVO_01000311; Solanum tuberosum	2004				Asia	China	Chongqing						Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820500	SRS23838235	2026-02-20	2025-12-31	RAL_AA1774AA	Assembled	205	5.2	134353	5553478	Ralstonia solanacearum;99.82%	111	571	RAL_AA1835AA_AS
RAL_AA1775AA	GBBC 1129	SRR32059341;ILLUMINA;Paired;;SRX27408288;SRA	Environment	Plant	ENVO_01000311; Solanum tuberosum cv. Spunta	2003												Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820499	SRS23838241	2026-02-20	2025-12-31	RAL_AA1775AA	Assembled	182.9	5.2	149390	5499634	Ralstonia solanacearum;99.45%	96	1630	RAL_AA1836AA_AS
RAL_AA1776AA	GBBC 1122	SRR32059342;ILLUMINA;Paired;;SRX27408287;SRA,SRR32059352;OXFORD_NANOPORE;Single;;SRX27408277;SRA	Environment	Plant	ENVO_01000311; Solanum tuberosum cv. Claustar	2003												Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820498	SRS23838236	2026-02-20	2025-12-31	RAL_AA1776AA	Assembled	199.5	5.2	133096	5595997	Ralstonia solanacearum;98.72%	109	1136	RAL_AA1837AA_AS
RAL_AA1777AA	GBBC 3080	SRR32059369;ILLUMINA;Paired;;SRX27408260;SRA,SRR32059344;OXFORD_NANOPORE;Single;;SRX27408285;SRA	Environment	Plant	ENVO_03600087; Rosa sp. (cv. Lucky Red)	2015				Europe	Belgium	Flanders	Flemish Brabant Province	Arrondissement Halle-Vilvoorde				Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820513	SRS23838217	2026-02-20	2025-12-31	RAL_AA1777AA	Assembled	225.9	5.2	97964	5700118	Ralstonia solanacearum;100.0%	184	998	RAL_AA1838AA_AS
RAL_AA1778AA	GBBC 1338	SRR32059345;OXFORD_NANOPORE;Single;;SRX27408284;SRA,SRR32059373;ILLUMINA;Paired;;SRX27408256;SRA	Environment	Plant	ENVO_01000311; Solanum melongena	2008				Asia	China	Chongqing	Chongqing	Beibei				Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820509	SRS23838214	2026-02-20	2025-12-31	RAL_AA1778AA	Assembled	179	5.2	107915	5681720	Ralstonia solanacearum;99.83%	186	1142	RAL_AA1839AA_AS
RAL_AA1779AA	CFBP 8427	SRR32059346;ILLUMINA;Paired;;SRX27408283;SRA	Environment	Plant	ENVO_01000311; Solanum lycopersicum	2003				Asia	Indonesia							Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820497	SRS23838240	2026-02-20	2025-12-31	RAL_AA1779AA	Assembled	235.9	5.2	115739	5522030	Ralstonia solanacearum;99.46%	119	1023	RAL_AA1840AA_AS
RAL_AA1785AA	GBBC 579	SRR32059356;ILLUMINA;Paired;;SRX27408273;SRA	Environment	Plant	ENVO_01000317; Solanum dulcamara	1996				Europe	Belgium	Flanders	Antwerp Province	Arrondissement Turnhout				Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820524	SRS23838231	2026-02-20	2025-12-31	RAL_AA1785AA	Assembled	463	5.2	117641	5764810	Ralstonia solanacearum;99.66%	186	2456	RAL_AA1841AA_AS
RAL_AA1786AA	CFBP 707	SRR32059357;ILLUMINA;Paired;;SRX27408272;SRA	Environment	Plant	ENVO_01000311; Solanum lycopersicum	1965				Oceania	French Polynesia	Îles du Vent						Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820496	SRS23838230	2026-02-20	2025-12-31	RAL_AA1786AA	Assembled	260.2	5.2	166850	5751072	Ralstonia solanacearum;98.58%	123	844	RAL_AA1842AA_AS
RAL_AA1787AA	GBBC 585	SRR32059358;ILLUMINA;Paired;;SRX27408271;SRA	Environment	Plant	ENVO_01000317; Solanum dulcamara	1996												Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820523	SRS23838228	2026-02-20	2025-12-31	RAL_AA1787AA	Assembled	671.7	5.2	119507	5766101	Ralstonia solanacearum;99.66%	192	2570	RAL_AA1843AA_AS
RAL_AA1788AA	GBBC 581	SRR32059359;ILLUMINA;Paired;;SRX27408270;SRA	Environment	Plant	ENVO_01000317; Solanum dulcamara	1996				Europe	Belgium	Flanders	Antwerp Province	Arrondissement Turnhout				Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820522	SRS23838229	2026-02-20	2025-12-31	RAL_AA1788AA	Assembled	405.3	5.2	116652	5764341	Ralstonia solanacearum;99.66%	183	2679	RAL_AA1844AA_AS
RAL_AA1789AA	GBBC 574	SRR32059360;ILLUMINA;Paired;;SRX27408269;SRA	Environment	Plant	ENVO_01000317; Solanum dulcamara	1996				Europe	Belgium	Flanders	Limburg Province	Arrondissement of Maaseik				Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820521	SRS23838227	2026-02-20	2025-12-31	RAL_AA1789AA	Assembled	418.4	5.2	116652	5763980	Ralstonia solanacearum;99.66%	192	2201	RAL_AA1845AA_AS
RAL_AA1790AA	NCPPB 4000	SRR32059361;ILLUMINA;Paired;;SRX27408268;SRA	Environment	Plant	ENVO_01000311; Zingiber officinale					Asia	Thailand							Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820520	SRS23838226	2026-02-20	2025-12-31	RAL_AA1790AA	Assembled	275.7	5.2	132898	5604486	Ralstonia solanacearum;99.82%	113	526	RAL_AA1846AA_AS
RAL_AA1791AA	LMG 5839	SRR32059363;ILLUMINA;Paired;;SRX27408266;SRA	Environment	Plant	ENVO_01000311; Zingiber officinale	1961				North America	United States	Hawaii						Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820518	SRS23838224	2026-02-20	2025-12-31	RAL_AA1791AA	Assembled	203.6	5.2	88110	5812265	Ralstonia solanacearum;100.0%	207	1920	RAL_AA1847AA_AS
RAL_AA1792AA	LMG 26750	SRR32059365;ILLUMINA;Paired;;SRX27408264;SRA	Environment	Plant	ENVO_01000311; Solanum tuberosum					Asia	Nepal							Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820516	SRS23838222	2026-02-20	2025-12-31	RAL_AA1792AA	Assembled	247.6	5.2	119606	5793165	Ralstonia solanacearum;99.66%	230	1887	RAL_AA1848AA_AS
RAL_AA1793AA	LMG 2297	SRR32059366;ILLUMINA;Paired;;SRX27408263;SRA	Environment	Plant	ENVO_03501101; Casuarina equisetifolia	1949				Africa	Mauritius							Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820515	SRS23838221	2026-02-20	2025-12-31	RAL_AA1793AA	Assembled	246.1	5.2	90545	5679046	Ralstonia solanacearum;99.82%	179	1094	RAL_AA1849AA_AS
RAL_AA1794AA	GBBC 3272	SRR32059367;ILLUMINA;Paired;;SRX27408262;SRA	Environment	Plant	ENVO_01000311; Solanum tuberosum cv. Arizona	2018												Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820514	SRS23838220	2026-02-20	2025-12-31	RAL_AA1794AA	Assembled	270.7	5.2	278799	5381405	Ralstonia solanacearum;99.62%	59	877	RAL_AA1850AA_AS
RAL_AA1795AA	CFBP 7062	SRR32059368;ILLUMINA;Paired;;SRX27408261;SRA	Environment	Plant	ENVO_01000311; Solanum tuberosum	2005				Africa	Cameroon							Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820495	SRS23838219	2026-02-20	2025-12-31	RAL_AA1795AA	Assembled	187.5	5.2	96121	5613677	Ralstonia solanacearum;98.0%	178	1355	RAL_AA1851AA_AS
RAL_AA1796AA	GBBC 1950	SRR32059370;ILLUMINA;Paired;;SRX27408259;SRA	Environment	Water/River	ENVO_01000317; river water	2014				Africa	Burundi							Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820512	SRS23838218	2026-02-20	2025-12-31	RAL_AA1796AA	Assembled	216.9	5.2	161736	5497661	Ralstonia solanacearum;98.18%	111	1011	RAL_AA1852AA_AS
RAL_AA1797AA	GBBC 1681	SRR32059371;ILLUMINA;Paired;;SRX27408258;SRA	Environment	Plant	ENVO_01000311; Solanum tuberosum cv. Mbanza	2011				Africa	Zambia							Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820511	SRS23838216	2026-02-20	2025-12-31	RAL_AA1797AA	Assembled	191.7	5.2	210817	5802891	Ralstonia solanacearum;99.49%	106	1871	RAL_AA1853AA_AS
RAL_AA1798AA	GBBC 1679	SRR32059372;ILLUMINA;Paired;;SRX27408257;SRA	Environment	Plant	ENVO_01000311; Solanum tuberosum cv. Red Pontiac	2011				Africa	Democratic Republic of the Congo	Bas-Congo						Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820510	SRS23838215	2026-02-20	2025-12-31	RAL_AA1798AA	Assembled	225.6	5.2	91173	5789279	Ralstonia solanacearum;99.46%	183	1980	RAL_AA1854AA_AS
RAL_AA1799AA	GBBC 1334	SRR32059374;ILLUMINA;Paired;;SRX27408255;SRA	Environment	Plant	ENVO_01000311; Solanum melongena	2008				Asia	China	Chongqing	Chongqing	Beibei				Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820508	SRS23838213	2026-02-20	2025-12-31	RAL_AA1799AA	Assembled	212.8	5.2	105727	5649638	Ralstonia solanacearum;99.82%	179	1616	RAL_AA1855AA_AS
RAL_AA1800AA	GBBC 1259	SRR32059376;ILLUMINA;Paired;;SRX27408253;SRA	Environment	Plant	ENVO_01000311; Solanum melongena	2005												Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820506	SRS23838212	2026-02-20	2025-12-31	RAL_AA1800AA	Assembled	271.8	5.2	133316	5406132	Ralstonia solanacearum;98.85%	106	818	RAL_AA1856AA_AS
RAL_AA1801AA	GBBC 1222	SRR32059377;ILLUMINA;Paired;;SRX27408252;SRA	Environment	Plant	ENVO_01000311; Solanum tuberosum cv. Nicola	2005												Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820504	SRS23838210	2026-02-20	2025-12-31	RAL_AA1801AA	Assembled	251.9	5.2	250185	5413608	Ralstonia solanacearum;99.06%	75	814	RAL_AA1857AA_AS
RAL_AA1802AA	GBBC 1210	SRR32059378;ILLUMINA;Paired;;SRX27408251;SRA	Environment	Plant	ENVO_01000311; Solanum tuberosum cv. Spunta	2003												Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820503	SRS23838209	2026-02-20	2025-12-31	RAL_AA1802AA	Assembled	228.3	5.2	142251	5471558	Ralstonia solanacearum;99.04%	110	1524	RAL_AA1858AA_AS
RAL_AA1803AA	CFBP 4961	SRR32059379;ILLUMINA;Paired;;SRX27408250;SRA	Environment	Plant	ENVO_03501101; Pelargonium x asperum	1993				Europe	France	Réunion						Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820494	SRS23838208	2026-02-20	2025-12-31	RAL_AA1803AA	Assembled	179.4	5.2	69506	5457717	Ralstonia solanacearum;97.63%	285	2826	RAL_AA1859AA_AS
RAL_AA1804AA	CFBP 3059	SRR32059380;ILLUMINA;Paired;;SRX27408249;SRA	Environment	Plant	ENVO_01000311; Solanum melongena	1990												Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	Ralstonia pseudosolanacearum					PRJNA1188077	SRP558653	SAMN44820493	SRS23838207	2026-02-20	2025-12-31	RAL_AA1804AA	Assembled	249.2	5.2	119219	5413015	Ralstonia solanacearum;98.18%	159	2411	RAL_AA1860AA_AS
RAL_AA1805AA	YO336	SRR37065416;ILLUMINA;Paired;;SRX32011824;SRA	Laboratory	Laboratory	Lab experimental evolution	2022	1	28		Europe	United Kingdom	England	York	York		53.95	-1.06	University of Helsinki	Ralstonia solanacearum					PRJNA1417349	SRP673620	SAMN54994979	SRS27952989	2026-02-20	2026-02-01	RAL_AA1805AA	Assembled	67.6	5.2	141139	5145018	Ralstonia solanacearum;100.0%	113	1939	RAL_AA1862AA_AS
RAL_AA1806AA	YO336	SRR37065417;ILLUMINA;Paired;;SRX32011823;SRA	Laboratory	Laboratory	Lab experimental evolution	2022	1	28		Europe	United Kingdom	England	York	York		53.95	-1.06	University of Helsinki	Ralstonia solanacearum					PRJNA1417349	SRP673620	SAMN54994978	SRS27952988	2026-02-20	2026-02-01	RAL_AA1806AA	Assembled	60.2	5.2	131372	5223610	Ralstonia solanacearum;100.0%	124	1813	RAL_AA1863AA_AS
RAL_AA1807AA	YO336	SRR37065418;ILLUMINA;Paired;;SRX32011822;SRA	Laboratory	Laboratory	Lab experimental evolution	2022	1	28		Europe	United Kingdom	England	York	York		53.95	-1.06	University of Helsinki	Ralstonia solanacearum					PRJNA1417349	SRP673620	SAMN54994977	SRS27952987	2026-02-20	2026-02-01	RAL_AA1807AA	Assembled	95.4	5.2	131371	5252296	Ralstonia solanacearum;100.0%	118	1819	RAL_AA1864AA_AS
RAL_AA1808AA	YO336	SRR37065419;ILLUMINA;Paired;;SRX32011821;SRA	Laboratory	Laboratory	Lab experimental evolution	2022	1	28		Europe	United Kingdom	England	York	York		53.95	-1.06	University of Helsinki	Ralstonia solanacearum					PRJNA1417349	SRP673620	SAMN54994976	SRS27952986	2026-02-20	2026-02-01	RAL_AA1808AA	Assembled	124.8	5.2	141139	5252322	Ralstonia solanacearum;100.0%	121	1618	RAL_AA1865AA_AS
RAL_AA1809AA	YO336	SRR37065420;ILLUMINA;Paired;;SRX32011820;SRA	Laboratory	Laboratory	Lab experimental evolution	2022	1	28		Europe	United Kingdom	England	York	York		53.95	-1.06	University of Helsinki	Ralstonia solanacearum					PRJNA1417349	SRP673620	SAMN54994975	SRS27952985	2026-02-20	2026-02-01	RAL_AA1809AA	Assembled	83.3	5.2	131369	5253931	Ralstonia solanacearum;100.0%	118	2136	RAL_AA1866AA_AS
